



【央视】,#genre#
CCTV15,https://live.goodiptv.club/api/bestv.php?id=cctv15hd8m/8000000
CCTV16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000
CCTV16-4K,https://live.goodiptv.club/api/bestv.php?id=cctv16hd4k/15000000
CCTV-4K,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000
CCTV17,https://live.goodiptv.club/api/bestv.php?id=cctv17hd8m/8000000
CCTV4欧洲,http://120.234.220.107:9000/udp/239.21.0.107:3768
CCTV4美洲,http://120.234.220.107:9000/udp/239.21.0.108:3772




卫视频道,#genre#
北京卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8
北京卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
湖南卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8
湖南卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
湖南金鹰纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226351/index.m3u8
江苏卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225800/index.m3u8
江苏卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
浙江卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225798/index.m3u8
浙江卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8
东方卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
东方卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225797/index.m3u8
安徽卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226196/index.m3u8
安徽卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
黑龙江卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
黑龙江卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
辽宁卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
辽宁卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226210/index.m3u8
深圳卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8
深圳卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
广东卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225803/index.m3u8
广东卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
天津卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
湖北卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
湖北卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226206/index.m3u8
山东卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8



浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
吉林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8




移动卫视,#genre#
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8

CETV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8
CETV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8
CETV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
CETV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226225/index.m3u8
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8
四川卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225768/index.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
山西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8

东南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8
海南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
厦门卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
河南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225767/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
河北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225750/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
金鹰卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225744/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
哈哈炫动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
吉林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
广西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8
江西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225764/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8

深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
云南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
贵州卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
甘肃卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
安多卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226228/index.m3u8
康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
新疆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8
兵团卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
延边卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
内蒙古卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8


山东教育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226238/index.m3u8
大湾区卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8

北京卡酷,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225743/index.m3u8
冬奥纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226232/index.m3u8
嘉佳卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226227/index.m3u8




电视指南,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
风云足球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
风云剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
央视台球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
第一剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
女性时尚,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
怀旧剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
兵器科技,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
高尔夫网球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
央视文化精品,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
哒啵电竞,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226951/index.m3u8
哒啵赛事,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226954/index.m3u8

CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8



电影频道,#genre#

恐怖故事,https://www.goodiptv.club/douyu/2337939
恐怖故事,http://maomao.kandiantv.cn/douyu1.php?id=2337939
鬼片恐怖惊悚,https://www.goodiptv.club/douyu/2935323
鬼片恐怖惊悚,http://maomao.kandiantv.cn/douyu1.php?id=2935323
译制国语,https://www.goodiptv.club/douyu/2436390
译制国语,https://www.aois.eu.org/live/douyu/2436390
神乐l华语经典,https://www.goodiptv.club/douyu/85894
yy电影2,http://mmitv.top/pltv/yy.php?id=1382749892
yy电影4,http://mmitv.top/pltv/yy.php?id=24921161
yy电影6,http://mmitv.top/pltv/yy.php?id=1382736803
yy电影7,http://mmitv.top/pltv/yy.php?id=1354930924
yy小品3,http://mmitv.top/pltv/yy.php?id=1354936198
yy电影3,http://mmitv.top/pltv/yy.php?id=1382735573
YY電影-歐美動作電影,http://mmitv.top/pltv/yy.php?id=1382745089
YY電影-成龍,http://mmitv.top/pltv/yy.php?id=1354888751
YY電影-林正英04,http://mmitv.top/pltv/yy.php?id=1353685311
YY電影-林正英03,http://mmitv.top/pltv/yy.php?id=1351505899
yy电影8,http://mmitv.top/pltv/yy.php?id=1382745095
yy电视剧,http://mmitv.top/pltv/yy.php?id=28099939
地下交通站,http://mmitv.top/pltv/yy.php？id=1353428972&uid=2463800499
宰相刘罗锅,http://mmitv.top/pltv/yy.php？id=1382745191&uid=2786225719
米娜影视,http://mmitv.top/pltv/yy.php？id=1382690078&uid=2358387041
正阳门下,http://mmitv.top/pltv/yy.php？id=1354931580&uid=2705646910

yy经典怀旧,http://mmitv.top/pltv/yy.php？id=1382627144
速度与激情,http://mmitv.top/pltv/yy.php？id=1382749892&uid=2786099940
yy小品,http://mmitv.top/pltv/yy.php？id=1354931503
野外生存,http://mmitv.top/pltv/yy.php？id=1355244168

yy电视剧1、http://mmitv.top/pltv/yy.php？id=1455460998
yy电视剧2、http://mmitv.top/pltv/yy.php？id=1354143966
热舞不断,http://mmitv.top/pltv/yy.php？id=22490906

好歌不停,http://mmitv.top/pltv/yy.php？id=54880976


赵本山小品,http://mmitv.top/pltv/yy.php？id=32160832&uid=2361867875
下饭神剧,http://mmitv.top/pltv/yy.php？id=23512910&uid=2244321222
西游记,http://mmitv.top/pltv/yy.php？id=1353392400


神医喜来乐,http://mmitv.top/pltv/yy.php？id=1382714119&uid=2244059750
菲菲影院,http://mmitv.top/pltv/yy.php？id=1456668939&uid=2718850416



CHC高清电影，http://db IPTV . sn . China mobile . com/PLTV/8888890/224/3221226463/index . m3u 8
CHC动作电影，http://db IPTV . sn . China mobile . com/PLTV/8888890/224/3221226465/index . m3u 8
CHC家庭影院，http://db IPTV . sn . China mobile . com/PLTV/8888890/224/3221226462/index . m3u 8
电影沈腾周星驰，http://hlsa-akm . douyu cdn . cn/85894 r movie chow _ 4000 p . m3u 8
新泰影视频道，http://111 . 17 . 214 . 4:1935/live/xtys/playlist . m3 u8
新泰影视频道，http://live . xtgdw . cn:1935/live/xtys/playlist . m3 u8

电影台50，http://BP-caster . bestv . com . cn/494/1/video . m3 u8
隆化电影，http://hblh . China shadt . com:2036/live/stream:lh2 . stream/playlist . m3 u8
平泉电影，https://jwliveqxzb . heb yun . com . cn/pqys/pqys . m3u 8
双滦电影，https://jwcdnqx . heb yun . com . cn/live/slys/1500k/tzwj _ video . m3u 8
测试台，http://Pluto-live . Pluto TV . net/egress/Chandler/Pluto 01/live/viacbs 02/master _ 2400 . m3 u8
斗鱼电影2、http://tc-tct.douyucdn2.cn/dylive flv 1 a/20415 rnwbjg 6 ex 1k _ 2000 . flv？wsAuth = 2 CCC 7 B4 ba 29208 aaba 62 DAE 54 CBD 68 c & token = CPN-androidmpro-0-20415-b 6774 B3 b 3249 db 17 fff 84d 73 c 7585 c 95 e 780 dbcdb 08 E4 BC & logo = 0 & expire = 0 & did = d 010 b 07 dcb 997 ada 9934081 c 873542 f 0 & origin = TCT & vhost = p
斗鱼电影4、http://tc-tct.douyucdn2.cn/dyliveflv 1/85894 r movie chow _ 2000 . flv？wsAuth = 7d 054 e 041804 e 80 af 8 aa 7 e 975 e 2d 8573 & token = CPN-androidmpro-0-85894-a 3575d 938 a4 aa 309 c 687 f 5 FB 85 a 1009 fc 65 cf beeb 2672310 & logo = 0 & expire = 0 & did = d 010 b 07 dcb 997 ada 9934081 c 873542 f 0 & origin = TCT & amp
斗鱼电影5、http://tc-tct.douyucdn2.cn/dylive flv 1 a/20415 rnwbjg 6 ex 1k _ 2000 . flv？ws auth = 99705 a 1921 DDD 49 FB 7079 a 02 f 02 bed C4 & token = CPN-androidmpro-0-20415-b 6774 b 3249 db 17d 8 bee 6676 fdf 877 Fe 8 b 1576307 ef8 e 6 & logo = 0 & expire = 0 & did = d 010 b 07 dcb 997 ada 9934081 c 873542 f 0 & origin = TCT & vhost = t
黑莓电y，http://[2409:8087:2001:20:2800:0:df6e:eb04]/ott . mobaibox . com/PLTV/3/224/3221225567/index . m3u 8
未知电影，http://[2409:8087:2001:20:2800:0:df6e:eb18]/wh7f 454 c 46 tw 2482771376 _ 951312812/ott . mobaibox . com/PLTV/3/224/3221227536/index . m3u 8

神乐影院-2台，https://TC-tc2-interact . douyu cdn 2 . cn/dyliveflv 1 a/122402 rk 7 mo 9 bxsq _ 900 . m3u 8
欧美大片，http://tc-tct.douyucdn2.cn/dylive flv 1 a/20415 rnwbjg 6 ex 1k _ 2000 . flv？wsAuth = 3b 64 DD 17d 293 b 133 c 58 BDA 21 e 3147 e5b & token = CPN-androidmpro-0-20415-b 6774 B3 b 3249 db 1768 f 0ac 048 C5 ed 218 AC 54 E1 f 82 b 04 b 2 BF & logo = 0 & expire = 0 & did = d 010 b 07 dcb 997 ada 9934081 c 873542 f 0 & origin = TCT & vhost = TCT
神乐影院-1台，https://TC-tc2-interact . douyu cdn 2 . cn/dyliveflv 1/85894 r movie chow _ 900p . m3u 8

电影解说11、http://EPG . 112114 . XYZ/宇都/562225
斗鱼电影15、http://EPG . 112114 . XYZ/宇都/5033502
大吉大利代，https://pull . kktv 8 . com/livekktv/128600025 . flv
斗鱼-喜剧电影，http://EPG . 112114 . XYZ/宇都/9292492
星矢-燃烧吧我的小宇宙，http://EPG . 112114 . XYZ/宇都/8458270
绍兴影院？另，http://live .绍兴. com . cn/video/s 10001-sxt v3/index . m3 u8
卡面来打？，http://EPG . 112114 . XYZ/宇都/1218414


IPV6专区，#流派#
CCTV-1，http://[2409:8087:2001:20:2800:0:df6e:eb07]/wh7f 454 c 46 tw 3252572940 _-481357165/ott . mobaibox . com/PLTV/3/224/3221227467/index . m3 u 8？icpid = 3 & RTS = 1668593752 & from = 40 & OCS = 2 _ 2409:8087:2001:20:2800:0:df6e:eb0a _ 80 & popid = 40 & HMS _ devid = 2036 & priority popid = 40 & vqe = 3
CCTV-2，http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f 454 c 46 tw 3589111099 _-1793408755/ott . mobaibox . com/PLTV/3/224/3221227543/index . m3 u 8？icpid = 3 & RTS = 1668594088 & from = 40 & popid = 40 & HMS _ devid = 2112 & priority popid = 40 & vqe = 3
CCTV-3，http://[2409:8087:2001:20:2800:0:df6e:eb18]/wh7f 454 c 46 tw 3746132328 _-1754088424/ott . mobaibox . com/PLTV/3/224/3221228126/index . m3 u 8？icpid = 3 & RTS = 1668594245 & from = 40 & popid = 40 & HMS _ devid = 2113 & priority popid = 40 & vqe = 3
CCTV-4，http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f 454 c 46 tw 3772680253 _-1555628407/ott . mobaibox . com/PLTV/3/224/3221227549/index . m3 u 8？icpid = 3 & RTS = 1668594272 & from = 40 & popid = 40 & HMS _ devid = 2112 & priority popid = 40 & vqe = 3
CCTV-5，http://[2409:8087:2001:20:2800:0:df6e:eb15]/wh7f 454 c 46 tw 3847208563 _ 882248521/ott . mobaibox . com/PLTV/3/224/3221228179/index . m3 u8？icpid = 3 & RTS = 1668594346 & from = 40 & popid = 40 & HMS _ devid = 2115 & priority popid = 40 & vqe = 3
CCTV-6，http://[2409:8087:2001:20:2800:0:df6e:eb13]/wh7f 454 c 46 tw 3940641123 _ 459833286/ott . mobaibox . com/PLTV/3/224/3221227505/index . m3 u8？icpid = 3 & RTS = 1668594440 & from = 40 & popid = 40 & HMS _ devid = 2112 & priority popid = 40 & vqe = 3
CCTV-7，http://[2409:8087:2001:20:2800:0:df6e:eb26]/wh7f 454 c 46 tw 3984282630 _ 1427246842/ott . mobaibox . com/PLTV/3/224/3221228283/index . m3 u 8？icpid = 3 & RTS = 1668594483 & from = 40 & popid = 40 & HMS _ devid = 2293 & priority popid = 40 & vqe = 3
CCTV-8，http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f 454 c 46 tw 4086984004 _ 1136880123/ott . mobaibox . com/PLTV/3/224/3221227473/index . m3 u 8？icpid = 3 & RTS = 1668594586 & from = 40 & popid = 40 & HMS _ devid = 2112 & priority popid = 40 & vqe = 3
CCTV-9，http://[2409:8087:2001:20:2800:0:df6e:eb21]/wh7f 454 c 46 tw 4254168827 _ 1850088835/ott . mobaibox . com/PLTV/3/224/3221228303/index . m3 u 8？icpid = 3 & RTS = 1668594753 & from = 40 & popid = 40 & HMS _ devid = 2290 & priority popid = 40 & vqe = 3
